property_type,listing_agency,price,location_number,city,zip_code,product_depth,bedroom_count,bathroom_count,parking_count
House,Renee's Realty NT - DURACK,420000,139367687,Woodroffe,830,premiere,3,1,4
Townhouse,Dunvegan Real Estate - PALMERSTON ,590000,139366871,Bayview,820,premiere,3,3,3
House,Call2View Real Estate - Palmerston,489000,139365199,Durack,830,premiere,3,2,2
House,LJ Hooker Darwin -   ,569000,139364171,Zuccoli,832,premiere,4,2,2
House,All About Real Estate NT - DARWIN CITY,435000,139364059,Woodroffe,830,premiere,3,1,2
Duplex/Semi-detached,Cate Killiner Real Estate - Woolner,495000,139363619,Rapid Creek,810,standard,3,1,1
Unit,Elders Real Estate - Darwin,439000,139363187,Darwin City,800,premiere,2,2,2
Acreage,No Agent Property - BRIGHTON EAST,875000,139362975,Humpty Doo,836,standard,4,2,3
Apartment,Urban Land Sales - DARWIN CITY,380000,139361499,Bellamack,832,standard,3,2,2
Apartment,Urban Land Sales - DARWIN CITY,240000,139361483,Bellamack,832,standard,1,1,1
Apartment,Urban Land Sales - DARWIN CITY,315000,139361427,Bellamack,832,standard,2,2,2
House,Gordon & Associates - GIRRAWEEN,570000,139360135,Woodroffe,830,premiere,4,3,2
House,Elaine Mills Property Management - COOLALINGA,460000,139358871,Bakewell,832,premiere,3,2,0
House,For Sale By Owner,685000,139356871,Leanyer,812,standard,3,1,5
House,Knight Frank (NT) - Darwin,775000,139356543,Darwin City,800,premiere,3,2,2
Other,Sale By Home Owner - Australia,429000,700199623,Stuart Park,820,standard,3,2,2
House,Sale By Home Owner - Australia,635000,139349547,Bellamack,832,standard,4,2,4
Apartment,Get Realty - PALMERSTON CITY,625000,139349347,Darwin City,800,premiere,3,2,2
House,Ausway Group,580000,139349231,Bellamack,832,premiere,4,2,0
House,Real Estate Central - DARWIN CITY,700000,139348191,Virginia,834,premiere,4,2,4
House,Cate Killiner Real Estate - Woolner,399000,139347107,Driver,830,standard,3,1,1
